l.p;Liczba maszyn;Liczba zadañ;Zakres Pj;Optymalny Cmax;NEH;;;FNEH ;;
;;;;;Wynik;Œredni czas;B³¹d wzglêdny;Wynik;Œredni czas;B³¹d wzglêdny
80;10;100;1-100;5856;5960;0.112066;0.017760;5960;0.004828;0.017760
81;20;100;1-100;6330;6594;0.159291;0.041706;6594;0.006236;0.041706
82;20;100;1-100;6320;6565;0.155972;0.038766;6565;0.005807;0.038766
83;20;100;1-100;6364;6639;0.148890;0.043212;6639;0.005809;0.043212
84;20;100;1-100;6331;6592;0.152502;0.041226;6592;0.005961;0.041226
85;20;100;1-100;6405;6660;0.178558;0.039813;6660;0.006490;0.039813
86;20;100;1-100;6487;6781;0.156315;0.045321;6781;0.006994;0.045321
87;20;100;1-100;6379;6676;0.149606;0.046559;6676;0.006450;0.046559
88;20;100;1-100;6514;6739;0.153576;0.034541;6739;0.006502;0.034541
89;20;100;1-100;6386;6658;0.149418;0.042593;6658;0.006283;0.042593
90;20;100;1-100;6534;6718;0.143559;0.028160;6718;0.005840;0.028160
91;10;200;1-100;10872;10942;0.866125;0.006439;10942;0.012822;0.006439
92;10;200;1-100;10500;10715;0.889180;0.020476;10715;0.021038;0.020476
93;10;200;1-100;10956;11070;1.076253;0.010405;11070;0.015153;0.010405
94;10;200;1-100;10893;11057;0.872669;0.015056;11057;0.014154;0.015056
95;10;200;1-100;10537;10608;0.982587;0.006738;10608;0.012557;0.006738
96;10;200;1-100;10347;10487;0.858679;0.013530;10487;0.014848;0.013530
97;10;200;1-100;10882;10985;1.048128;0.009465;10985;0.047631;0.009465
98;10;200;1-100;10754;10821;2.517555;0.006230;10821;0.041106;0.006230
99;10;200;1-100;10465;10556;2.303795;0.008696;10556;0.034842;0.008696
100;10;200;1-100;10727;10850;2.437261;0.011466;10850;0.039414;0.011466
101;20;200;1-100;11393;11684;3.120081;0.025542;11684;0.063603;0.025542
